inscricao;deferimento;renda_mensal
87994;1;540.0
87995;1;909.6833333333334
87996;1;471.3333333333333
87997;1;350.005
88002;1;910.8733333333333
88006;0;850.0
88009;1;406.6666666666667
88010;1;477.0
88013;0;966.6666666666666
88015;1;200.0
88020;1;460.0
88021;1;280.0
88022;1;476.42
88024;1;818.0
88025;1;990.9119999999999
88040;1;238.5
88041;1;483.6666666666667
88042;1;562.9125
88043;1;611.5
88048;1;650.0
88053;1;624.6666666666666
88054;1;1228.0
88055;1;750.0
88057;0;1491.0
88059;1;199.33333333333334
88061;0;954.0
88062;0;1869.61
88063;1;379.88000000000005
88069;1;648.3333333333334
88071;0;225.0
88075;0;1533.74
88085;1;1034.25
88087;1;480.0
88088;1;312.3333333333333
88089;1;0.0
88090;1;792.6666666666666
88093;0;317.07
88096;1;425.76
88098;1;972.1999999999999
88102;1;385.3333333333333
88107;1;1225.0
88115;1;949.38
88117;1;228.25
88118;1;445.6666666666667
88122;1;150.0
88123;1;804.6
88129;1;1035.1399999999999
88141;1;1116.5833333333333
88149;1;290.0
88156;1;699.1199999999999
88166;1;370.8
88167;1;315.0
88179;1;363.5
88180;1;410.93
88189;1;543.3333333333334
88190;1;750.0
88192;1;1418.4775
88196;1;342.5
88197;0;361.5233333333333
88198;0;450.0
88201;1;1023.425
88203;0;1800.0
88204;1;343.0675
88205;1;200.0
88207;1;818.0
88210;1;234.25
88211;1;156.16666666666666
88214;1;238.5
88218;1;505.59999999999997
88225;1;782.5
88227;1;220.0
88229;1;1120.0
88235;1;224.665
88236;1;1226.6049999999998
88238;1;450.0
88241;1;500.0
88244;1;1052.5025
88248;0;624.0
88251;0;1044.3266666666666
88257;1;1274.685
88265;1;318.0
88267;1;914.0
88270;1;1323.2366666666667
88272;1;1270.5075
88276;1;550.0
88280;1;858.0
88281;1;867.2366666666667
88282;1;190.0
88283;1;92.5
88292;1;366.75
88297;1;318.0
88298;1;489.9
88299;1;472.6666666666667
88301;1;278.0
88306;0;1166.6666666666667
88310;1;535.0
88312;1;849.485
88313;1;400.00666666666666
88314;1;765.0
88315;1;681.49
88318;1;760.0
88319;1;318.0
88323;1;478.115
88324;1;804.75
88326;1;790.0
88328;0;1391.1733333333334
88335;1;674.75
88336;1;595.525
88343;1;778.75
88352;1;296.24
88354;0;331.7942857142857
88356;1;300.0
88362;1;567.0233333333333
88374;1;1069.2675
88384;1;468.79333333333335
88385;1;500.0
88386;1;636.0
88388;1;746.0
88390;1;783.6
88391;1;983.6075000000001
88397;1;400.0
88401;1;478.33
88404;1;950.45
88410;1;488.6775
88414;1;468.005
88419;0;900.0
88422;1;708.3000000000001
88425;0;499.25
88426;0;966.1433333333334
88427;1;833.3333333333334
88428;1;915.9
88429;1;400.0
88430;0;1156.6666666666667
88434;1;700.0
88435;0;700.0
88436;0;640.0
88438;1;642.356
88443;1;582.0433333333334
88448;1;806.1020000000001
88451;1;668.25
88469;1;876.88
88475;1;687.04
88481;0;769.25
88492;1;7642.6
88499;1;900.0
88500;1;250.0
88501;1;466.6666666666667
88502;0;375.0
88514;0;0.0
88516;1;345.0
88521;1;1181.816
88524;1;375.0
88532;1;446.77333333333337
88534;1;1168.0666666666666
88537;1;375.0
88540;1;658.0
88549;1;950.0
88550;0;751.5
88556;1;0.0
88558;1;230.0
88561;1;844.555
88566;0;450.8
88567;1;1000.0
88570;1;804.6375
88571;1;1283.7566666666664
88574;1;691.0
88575;1;417.975
88592;1;468.5
88593;1;468.505
88594;1;500.0
88598;1;333.3333333333333
88599;1;946.6666666666666
88602;1;816.9275
88605;1;793.3333333333334
88612;1;563.5
88613;1;849.0466666666666
88615;1;933.3333333333334
88616;1;996.075
88626;1;233.33333333333334
88627;1;1091.8766666666668
88635;0;833.3333333333334
88639;1;640.7766666666666
88641;1;200.0
88645;1;733.3266666666667
88646;1;800.7974999999999
88649;1;210.8
88655;1;166.66666666666666
88657;1;1075.0525
88663;1;320.65
88666;1;180.0
88671;1;559.25
88679;1;665.0
88680;1;500.005
88685;1;709.89
88688;1;815.2933333333334
88689;1;300.0
88692;0;1969.7624999999998
88695;1;312.3333333333333
88696;1;334.78000000000003
88699;0;427.06666666666666
88707;1;900.0
88709;1;100.0
88710;1;400.0
88715;1;238.5
88716;1;615.135
88719;1;1227.6666666666667
88722;1;482.22333333333336
88723;1;834.44
88728;1;558.125
88729;1;590.0
88732;1;817.89
88733;1;949.38
88740;1;334.1666666666667
88741;1;536.34
88747;1;283.25
88748;1;666.6666666666666
88752;1;375.0075
88754;0;1333.3333333333333
88755;1;0.0
88756;1;773.105
88757;1;833.34
88760;1;833.3333333333334
88762;1;234.8
88763;1;366.6666666666667
88770;1;550.0
88771;1;568.1
88774;1;477.0
88776;1;275.0
88777;1;302.0
88784;1;918.8933333333334
88790;1;1039.3333333333333
88792;0;500.0
88796;1;385.0
88797;0;600.0
88798;0;1008.2779999999999
88802;1;570.45
88803;1;380.0
88804;1;727.7275
88806;1;868.2
88807;1;600.0
88810;1;318.0
88812;1;697.84
88813;1;504.625
88814;1;636.0
88820;1;997.5
88821;1;937.0
88823;1;398.6666666666667
88824;1;1187.5
88828;1;333.3333333333333
88833;1;325.0
88839;0;501.73400000000004
88841;1;525.0
88842;1;651.7
88844;1;950.0
88845;1;1230.29
88846;1;1116.5
88854;1;815.1566666666666
88855;1;776.5733333333334
88857;1;1236.4025000000001
88859;1;600.0
88861;1;636.525
88864;1;1103.0149999999999
88865;1;75.83250000000001
88867;1;713.6666666666666
88869;1;627.0
88871;1;937.0
88872;1;477.0
88876;1;533.3333333333334
88879;1;751.2066666666666
88881;1;821.624
88882;1;374.0
88883;1;250.0
88886;1;374.0
88887;1;374.0
88899;1;413.0
88904;0;400.0
88905;1;466.6666666666667
88906;1;375.16428571428565
88910;1;1116.388
88911;0;993.75
88915;0;715.5
88916;1;1333.3333333333333
88927;1;834.5066666666667
88932;0;1069.0
88944;1;578.25
88946;1;799.475
88948;1;655.0
88951;1;866.4
88953;1;250.0
88956;1;274.0
88957;0;271.6
88958;1;991.8625
88961;1;500.0
88966;1;616.0
88971;1;765.0
88973;1;275.0
88977;1;732.25
88978;1;400.0
88980;1;1122.782
88983;1;200.0
88987;1;316.6666666666667
88988;1;712.3333333333334
88990;1;750.0
88991;0;750.0
88993;1;477.68
89003;0;668.5
89006;1;1199.76
89013;1;336.15
89017;1;685.6975
89022;1;1212.3333333333333
89028;1;332.3333333333333
89029;1;318.0
89036;1;421.65
89039;1;241.75
89042;0;1277.8525
89045;1;517.5
89046;1;480.51750000000004
89047;1;436.6666666666667
89048;1;654.6025
89056;1;324.3333333333333
89061;1;300.0
89062;1;502.19400000000013
89075;1;450.0
89077;1;933.925
89083;1;1244.072
89086;1;831.3774999999999
89091;1;706.9533333333333
89092;1;500.0
89094;1;1051.234
89096;1;312.3333333333333
89105;1;1044.774
89111;1;1060.6
89116;0;0.0
89120;1;783.71
89125;1;566.6666666666666
89128;1;190.8
89129;1;365.305
89134;1;482.4883333333334
89137;1;791.0099999999999
89147;1;555.8299999999999
89151;0;2821.1299999999997
89162;1;975.0
89163;0;1333.3333333333333
89164;1;425.0
89165;1;1361.78
89168;1;1015.0
89170;1;747.4
89181;1;750.0
89188;0;600.0
89189;1;485.89833333333337
89199;1;1300.7725
89202;0;1539.7
89207;1;480.0
89211;1;1188.7925
89212;1;0.0
89215;1;250.0
89216;1;287.2875
89218;1;1243.8400000000001
89223;1;529.8333333333334
89226;1;635.5
89231;1;250.0
89235;0;350.0
89236;1;468.47
89237;1;477.0
89242;1;948.3333333333334
89244;1;222.8
89251;1;505.6666666666667
89253;1;922.75
89254;1;1360.5
89263;1;430.67
89269;1;343.3333333333333
89271;1;690.9699999999999
89278;1;812.396
89280;1;333.3333333333333
89287;1;996.5
89291;1;318.0
89296;1;549.3333333333334
89300;1;973.65
89301;1;624.6666666666666
89304;0;448.75
89317;0;519.385
89324;1;652.6650000000002
89328;1;318.0
89330;1;559.0
89331;1;482.6666666666667
89334;0;389.79333333333335
89335;1;582.5
89336;1;917.1375
89338;1;434.4
89346;1;266.6666666666667
89356;1;549.8225
89365;1;1088.0825
89368;1;1390.465
89372;1;740.6666666666666
89373;1;454.6666666666667
89376;1;1175.0
89380;0;397.5
89385;1;780.25
89389;1;600.0
89393;1;337.5
89394;1;600.0
89397;1;666.6666666666666
89406;1;1037.5166666666667
89410;1;1000.0
89413;1;971.41
89414;1;682.115
89421;1;669.3333333333334
89423;1;855.4566666666666
89425;1;1000.0
89427;1;382.05
89430;1;432.6
89442;1;585.105
89443;1;559.72
89444;1;1064.1575
89445;1;1312.3333333333333
89447;1;353.0
89448;1;389.0
89450;1;667.15
89453;1;631.0600000000001
89459;1;665.4133333333333
89463;1;925.0
89467;1;468.225
89478;1;1317.2
89479;0;600.0
89487;1;312.3333333333333
89491;0;767.295
89502;1;85.2
89504;1;220.0
89505;1;1349.9775
89507;1;470.4266666666667
89508;1;715.0
89509;1;668.5
