id;inscricao;resultado;renda_media
0;87994;s;540.0
1;87995;s;909.6833333333334
2;87996;s;471.3333333333333
3;87997;s;350.005
4;88002;s;910.8733333333333
5;88006;n;850.0
6;88009;s;406.6666666666667
7;88010;s;477.0
8;88013;n;966.6666666666666
9;88015;s;200.0
10;88020;s;460.0
11;88021;s;280.0
12;88022;s;476.42
13;88024;s;818.0
14;88025;s;990.9119999999999
15;88040;s;238.5
16;88041;s;483.6666666666667
17;88042;s;562.9125
18;88043;s;611.5
19;88048;s;650.0
20;88053;s;624.6666666666666
21;88054;s;1228.0
22;88055;s;750.0
23;88057;n;1491.0
24;88059;s;199.33333333333334
25;88061;n;954.0
26;88062;n;1869.61
27;88063;s;379.88000000000005
28;88069;s;648.3333333333334
29;88071;n;225.0
30;88075;n;1533.74
31;88085;s;1034.25
32;88087;s;480.0
33;88088;s;312.3333333333333
34;88089;s;0.0
35;88090;s;792.6666666666666
36;88093;n;317.07
37;88096;s;425.76
38;88098;s;972.1999999999999
39;88102;s;385.3333333333333
40;88107;s;1225.0
41;88115;s;949.38
42;88117;s;228.25
43;88118;s;445.6666666666667
44;88122;s;150.0
45;88123;s;804.6
46;88129;s;1035.1399999999999
47;88141;s;1116.5833333333333
48;88149;s;290.0
49;88156;s;699.1199999999999
50;88166;s;370.8
51;88167;s;315.0
52;88179;s;363.5
53;88180;s;410.93
54;88189;s;543.3333333333334
55;88190;s;750.0
56;88192;s;1418.4775
57;88196;s;342.5
58;88197;n;361.5233333333333
59;88198;n;450.0
60;88201;s;1023.425
61;88203;n;1800.0
62;88204;s;343.0675
63;88205;s;200.0
64;88207;s;818.0
65;88210;s;234.25
66;88211;s;156.16666666666666
67;88214;s;238.5
68;88218;s;505.59999999999997
69;88225;s;782.5
70;88227;s;220.0
71;88229;s;1120.0
72;88235;s;224.665
73;88236;s;1226.6049999999998
74;88238;s;450.0
75;88241;s;500.0
76;88244;s;1052.5025
77;88248;n;624.0
78;88251;n;1044.3266666666666
79;88257;s;1274.685
80;88265;s;318.0
81;88267;s;914.0
82;88270;s;1323.2366666666667
83;88272;s;1270.5075
84;88276;s;550.0
85;88280;s;858.0
86;88281;s;867.2366666666667
87;88282;s;190.0
88;88283;s;92.5
89;88292;s;366.75
90;88297;s;318.0
91;88298;s;489.9
92;88299;s;472.6666666666667
93;88301;s;278.0
94;88306;n;1166.6666666666667
95;88310;s;535.0
96;88312;s;849.485
97;88313;s;400.00666666666666
98;88314;s;765.0
99;88315;s;681.49
100;88318;s;760.0
101;88319;s;318.0
102;88323;s;478.115
103;88324;s;804.75
104;88326;s;790.0
105;88328;n;1391.1733333333334
106;88335;s;674.75
107;88336;s;595.525
108;88343;s;778.75
109;88352;s;296.24
110;88354;n;331.7942857142857
111;88356;s;300.0
112;88362;s;567.0233333333333
113;88374;s;1069.2675
114;88384;s;468.79333333333335
115;88385;s;500.0
116;88386;s;636.0
117;88388;s;746.0
118;88390;s;783.6
119;88391;s;983.6075000000001
120;88397;s;400.0
121;88401;s;478.33
122;88404;s;950.45
123;88410;s;488.6775
124;88414;s;468.005
125;88419;n;900.0
126;88422;s;708.3000000000001
127;88425;n;499.25
128;88426;n;966.1433333333334
129;88427;s;833.3333333333334
130;88428;s;915.9
131;88429;s;400.0
132;88430;n;1156.6666666666667
133;88434;s;700.0
134;88435;n;700.0
135;88436;n;640.0
136;88438;s;642.356
137;88443;s;582.0433333333334
138;88448;s;806.1020000000001
139;88451;s;668.25
140;88469;s;876.88
141;88475;s;687.04
142;88481;n;769.25
143;88492;s;7642.6
144;88499;s;900.0
145;88500;s;250.0
146;88501;s;466.6666666666667
147;88502;n;375.0
148;88514;n;0.0
149;88516;s;345.0
150;88521;s;1181.816
151;88524;s;375.0
152;88532;s;446.77333333333337
153;88534;s;1168.0666666666666
154;88537;s;375.0
155;88540;s;658.0
156;88549;s;950.0
157;88550;n;751.5
158;88556;s;0.0
159;88558;s;230.0
160;88561;s;844.555
161;88566;n;450.8
162;88567;s;1000.0
163;88570;s;804.6375
164;88571;s;1283.7566666666664
165;88574;s;691.0
166;88575;s;417.975
167;88592;s;468.5
168;88593;s;468.505
169;88594;s;500.0
170;88598;s;333.3333333333333
171;88599;s;946.6666666666666
172;88602;s;816.9275
