INSCRICAO;LABEL;RENDA_MEDIA
88006;n;850.0
88013;n;966.6666666666666
88057;n;1491.0
88061;n;954.0
88062;n;1869.61
88071;n;225.0
88075;n;1533.74
88093;n;317.07
88197;n;361.5233333333333
88198;n;450.0
88203;n;1800.0
88248;n;624.0
88251;n;1044.3266666666666
88306;n;1166.6666666666667
88328;n;1391.1733333333334
88354;n;331.7942857142857
88419;n;900.0
88425;n;499.25
88426;n;966.1433333333334
88430;n;1156.6666666666667
88435;n;700.0
88436;n;640.0
88481;n;769.25
88502;n;375.0
88514;n;0.0
88550;n;751.5
88566;n;450.8
88635;n;833.3333333333334
88692;n;1969.7624999999998
88699;n;427.06666666666666
88754;n;1333.3333333333333
88792;n;500.0
88797;n;600.0
88798;n;1008.2779999999999
88839;n;501.73400000000004
88904;n;400.0
88911;n;993.75
88915;n;715.5
88932;n;1069.0
88957;n;271.6
88991;n;750.0
89003;n;668.5
89042;n;1277.8525
89116;n;0.0
89151;n;2821.1299999999997
89163;n;1333.3333333333333
89188;n;600.0
89202;n;1539.7
89235;n;350.0
89304;n;448.75
89317;n;519.385
89334;n;389.79333333333335
89380;n;397.5
89479;n;600.0
89491;n;767.295
89518;n;568.5
89579;n;1022.2525
89620;n;448.3333333333333
89631;n;751.7366666666667
89633;n;725.0
89748;n;768.3333333333334
89769;n;212.2
89777;n;1582.0933333333332
89781;n;950.0
89783;n;925.0
89792;n;1075.0
89795;n;483.3333333333333
89798;n;1923.51
89850;n;550.0
89858;n;1000.0
89894;n;532.58
89906;n;318.0
89908;n;1466.28
89934;n;846.4775
90023;n;477.0
90028;n;1200.0
90047;n;458.3333333333333
90048;n;0.0
90060;n;1263.3466666666666
90084;n;507.0
90094;n;300.0
90098;n;920.0
90101;n;1811.6625
90136;n;400.0
90210;n;900.0
90219;n;608.5
90221;n;1200.0
90222;n;721.4766666666668
90236;n;400.0
90238;n;453.5825
90241;n;500.0
90246;n;336.3975
90250;n;0.0
90274;n;94.2
90277;n;1500.0
90278;n;2162.516666666667
90284;n;456.3157142857143
90308;n;1388.6666666666667
90309;n;1133.5675
90332;n;600.0
90351;n;300.0
90371;n;875.0
90376;n;200.0
95481;n;468.5
95554;n;1414.0
95605;n;303.832
95780;n;120.0
95789;n;200.0
95865;n;234.25
95880;n;137.0
95900;n;1894.0075
95913;n;320.0
95921;n;318.0
95922;n;220.0
95927;n;300.0
95929;n;500.0
95937;n;0.0
95949;n;318.0
95965;n;1500.0
95984;n;477.0
96006;n;482.95200000000006
96007;n;318.0
96009;n;1744.0614285714287
96017;n;352.0
96018;n;1125.0
96029;n;85.0
96068;n;500.0
96139;n;933.3333333333334
96143;n;1000.0
96187;n;300.0
96241;n;0.0
96311;n;860.3333333333334
96312;n;1702.2733333333333
96316;n;1200.0
96321;n;283.02
96323;n;600.0
96336;n;238.5
96343;n;477.0
96344;n;449.72800000000007
96348;n;750.0
96370;n;600.0
96388;n;750.0075000000002
96392;n;519.385
96410;n;1322.8880000000001
96421;n;300.0
96425;n;453.5
96430;n;468.5
96438;n;1250.0
96440;n;493.3333333333333
96454;n;366.808
96456;n;287.6
96467;n;477.0
96474;n;400.0
96483;n;1000.0
96493;n;0.0
96504;n;700.0
96521;n;1235.0
96522;n;998.0
96534;n;300.0
