INSCRICAO;LABEL;RENDA_MEDIA
87994;s;540.0
87995;s;909.6833333333334
87996;s;471.3333333333333
87997;s;350.005
88002;s;910.8733333333333
88009;s;406.6666666666667
88010;s;477.0
88015;s;200.0
88020;s;460.0
88021;s;280.0
88022;s;476.42
88024;s;818.0
88025;s;990.9119999999999
88040;s;238.5
88041;s;483.6666666666667
88042;s;562.9125
88043;s;611.5
88048;s;650.0
88053;s;624.6666666666666
88054;s;1228.0
88055;s;750.0
88059;s;199.33333333333334
88063;s;379.88000000000005
88069;s;648.3333333333334
88085;s;1034.25
88087;s;480.0
88088;s;312.3333333333333
88089;s;0.0
88090;s;792.6666666666666
88096;s;425.76
88098;s;972.1999999999999
88102;s;385.3333333333333
88107;s;1225.0
88115;s;949.38
88117;s;228.25
88118;s;445.6666666666667
88122;s;150.0
88123;s;804.6
88129;s;1035.1399999999999
88141;s;1116.5833333333333
88149;s;290.0
88156;s;699.1199999999999
88166;s;370.8
88167;s;315.0
88179;s;363.5
88180;s;410.93
88189;s;543.3333333333334
88190;s;750.0
88192;s;1418.4775
88196;s;342.5
88201;s;1023.425
88204;s;343.0675
88205;s;200.0
88207;s;818.0
88210;s;234.25
88211;s;156.16666666666666
88214;s;238.5
88218;s;505.59999999999997
88225;s;782.5
88227;s;220.0
88229;s;1120.0
88235;s;224.665
88236;s;1226.6049999999998
88238;s;450.0
88241;s;500.0
88244;s;1052.5025
88257;s;1274.685
88265;s;318.0
88267;s;914.0
88270;s;1323.2366666666667
88272;s;1270.5075
88276;s;550.0
88280;s;858.0
88281;s;867.2366666666667
88282;s;190.0
88283;s;92.5
88292;s;366.75
88297;s;318.0
88298;s;489.9
88299;s;472.6666666666667
88301;s;278.0
88310;s;535.0
88312;s;849.485
88313;s;400.00666666666666
88314;s;765.0
88315;s;681.49
88318;s;760.0
88319;s;318.0
88323;s;478.115
88324;s;804.75
88326;s;790.0
88335;s;674.75
88336;s;595.525
88343;s;778.75
88352;s;296.24
88356;s;300.0
88362;s;567.0233333333333
88374;s;1069.2675
88384;s;468.79333333333335
88385;s;500.0
88386;s;636.0
88388;s;746.0
88390;s;783.6
88391;s;983.6075000000001
88397;s;400.0
88401;s;478.33
88404;s;950.45
88410;s;488.6775
88414;s;468.005
88422;s;708.3000000000001
88427;s;833.3333333333334
88428;s;915.9
88429;s;400.0
88434;s;700.0
88438;s;642.356
88443;s;582.0433333333334
88448;s;806.1020000000001
88451;s;668.25
88469;s;876.88
88475;s;687.04
88492;s;7642.6
88499;s;900.0
88500;s;250.0
88501;s;466.6666666666667
88516;s;345.0
88521;s;1181.816
88524;s;375.0
88532;s;446.77333333333337
88534;s;1168.0666666666666
88537;s;375.0
88540;s;658.0
88549;s;950.0
88556;s;0.0
88558;s;230.0
88561;s;844.555
88567;s;1000.0
88570;s;804.6375
88571;s;1283.7566666666664
88574;s;691.0
88575;s;417.975
88592;s;468.5
88593;s;468.505
88594;s;500.0
88598;s;333.3333333333333
88599;s;946.6666666666666
88602;s;816.9275
88605;s;793.3333333333334
88612;s;563.5
88613;s;849.0466666666666
88615;s;933.3333333333334
88616;s;996.075
88626;s;233.33333333333334
88627;s;1091.8766666666668
