codigo;deferimento;renda_mensal
96398;s;2164.46
96398;s;
96398;s;
88410;s;1954.71
88410;s;
88410;s;
88410;s;
90267;s;1700
90267;s;942
90267;s;
88024;s;
88024;s;954
88024;s;1500
90063;s;850
90063;s;2944.83
90063;s;
90063;s;
90579;s;900
90579;s;
90579;s;
96922;s;1200
90216;s;
90216;s;
90216;s;1093
90216;s;
96595;s;
97010;s;
97010;s;1182
97010;s;
97010;s;954
97010;s;1846
96595;s;
96595;s;1940.53
89918;s;447
89918;s;1100
90245;s;1200
90245;s;
90245;s;400
90245;s;
88167;s;1260
88167;s;
88167;s;
88167;s;
97218;s;1284.3
97218;s;442.77
97218;s;
89776;s;
89776;s;1000
89776;s;
89776;s;
89776;s;2878.4
89614;s;200
89614;s;2000
89614;s;
89614;s;
96021;s;
96021;s;
96021;s;
96021;s;
96021;s;2000
96922;s;1683.05
96922;s;
96922;s;
88043;s;
96631;s;1065
96631;s;
96631;s;
96631;s;2550
90324;s;1900
90324;s;
90162;s;
90162;s;954
90162;s;954
90324;s;950
88443;s;300
88443;s;1146.13
88443;s;300
96460;s;1351.8
96428;s;1014.33
96428;s;2629.47
96428;s;477
96428;s;
88806;s;
88806;s;3432
88806;s;909
88806;s;
88806;s;
90190;s;
90190;s;460
90190;s;
90190;s;1300
90190;s;
97639;s;
97639;s;
97639;s;
97639;s;1670.4
90187;s;600
97368;s;0.01
97368;s;0.01
97368;s;4602
97368;s;477
96826;s;
96826;s;954
96826;s;
88475;s;
88475;s;1107.12
88475;s;954
89844;s;
89844;s;2084.58
89844;s;
89844;s;
89844;s;570
88048;s;
88048;s;1300
89170;s;1500
89170;s;
89170;s;
89170;s;937
89170;s;1300
97349;s;954
97349;s;
97349;s;
97349;s;0.01
97013;s;954
97013;s;
88842;s;
88842;s;1837.95
88842;s;
88842;s;1420.55
88842;s;
89181;s;1500
89181;s;
88707;s;900
88438;s;2041.3
88438;s;
88438;s;1170.48
88438;s;
88438;s;
88570;s;1773.97
88570;s;1444.58
88570;s;
88570;s;
89094;s;1200
89094;s;
89094;s;
89094;s;
88881;s;2518.5
88881;s;
